regulator,num_degs_regulated,total_targets,enrichment_score,p_value,up_appearance_count,down_appearance_count,is_global_regulator,is_sigma_factor,is_nucleoid_regulator,a,K,fdr,M,N,topN_x,topN_y,topN
oxyr,2,45,0.044444444444444446,0.6563446511873294,2,0,yes,no,no,2,45,1.0,150,3060,False,True,False
trer,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
glnz,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
cyar,0,8,0.0,1.0,0,0,no,no,no,0,8,1.0,150,3060,False,,False
dsra,0,10,0.0,1.0,0,0,no,no,no,0,10,1.0,150,3060,False,,False
rpra,0,9,0.0,1.0,0,0,no,no,no,0,9,1.0,150,3060,False,,False
mqsa,2,13,0.15384615384615385,0.1307948076710903,2,0,no,no,no,2,13,1.0,150,3060,False,True,False
flix,0,12,0.0,1.0,0,0,no,no,no,0,12,1.0,150,3060,False,,False
dicf,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
arac,0,18,0.0,1.0,0,0,no,no,no,0,18,1.0,150,3060,False,,False
mica,0,17,0.0,1.0,0,0,no,no,no,0,17,1.0,150,3060,False,,False
kdpe,1,9,0.1111111111111111,0.3642590408757247,1,0,no,no,no,1,9,1.0,150,3060,False,True,False
beti,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
ntrc,3,40,0.075,0.3122170976054444,3,0,no,no,no,3,40,1.0,150,3060,False,True,False
glng,0,51,0.0,1.0,0,0,yes,no,no,0,51,1.0,150,3060,False,,False
dnaa,0,18,0.0,1.0,0,0,no,no,no,0,18,1.0,150,3060,False,,False
csra,0,27,0.0,1.0,0,0,no,no,no,0,27,1.0,150,3060,False,,False
creb,0,16,0.0,1.0,0,0,no,no,no,0,16,1.0,150,3060,False,,False
sdhx,0,6,0.0,1.0,0,0,no,no,no,0,6,1.0,150,3060,False,,False
rpoh,0,174,0.0,1.0,0,0,no,yes,no,0,174,1.0,150,3060,False,,False
pdhr,2,54,0.037037037037037035,0.7520009446749638,2,0,yes,no,no,2,54,1.0,150,3060,False,True,False
btsr,1,15,0.06666666666666667,0.5303192277227108,1,0,no,no,no,1,15,1.0,150,3060,False,True,False
nsrr,4,86,0.046511627906976744,0.6162802773149288,4,0,yes,no,no,4,86,1.0,150,3060,False,True,False
flhdc,2,49,0.04081632653061224,0.7020454857647092,2,0,no,no,no,2,49,1.0,150,3060,False,True,False
flhd,0,93,0.0,1.0,0,0,yes,no,no,0,93,1.0,150,3060,False,,False
flhc,0,93,0.0,1.0,0,0,yes,no,no,0,93,1.0,150,3060,False,,False
iclr,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
nagc,1,44,0.022727272727272728,0.8922145869364586,1,0,yes,no,no,1,44,1.0,150,3060,False,True,False
spf,0,27,0.0,1.0,0,0,yes,no,no,0,27,1.0,150,3060,False,,False
cadc,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
azur,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
caif,0,10,0.0,1.0,0,0,no,no,no,0,10,1.0,150,3060,False,,False
pepa,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
yfec,0,6,0.0,1.0,0,0,no,no,no,0,6,1.0,150,3060,False,,False
glpr,0,9,0.0,1.0,0,0,no,no,no,0,9,1.0,150,3060,False,,False
basr,0,26,0.0,1.0,0,0,no,no,no,0,26,1.0,150,3060,False,,False
plar,1,14,0.07142857142857142,0.505991839655862,1,0,no,no,no,1,14,1.0,150,3060,False,True,False
glcc,0,7,0.0,1.0,0,0,no,no,no,0,7,1.0,150,3060,False,,False
gcva,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,150,3060,False,,False
arrs,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
metj,0,15,0.0,1.0,0,0,no,no,no,0,15,1.0,150,3060,False,,False
cytr,2,14,0.14285714285714285,0.14789134372120916,2,0,no,no,no,2,14,1.0,150,3060,False,True,False
sgrs,0,10,0.0,1.0,0,0,no,no,no,0,10,1.0,150,3060,False,,False
lldr,1,11,0.09090909090909091,0.4252435250988266,1,0,no,no,no,1,11,1.0,150,3060,False,True,False
chix,0,6,0.0,1.0,0,0,no,no,no,0,6,1.0,150,3060,False,,False
dcur,0,12,0.0,1.0,0,0,no,no,no,0,12,1.0,150,3060,False,,False
cusr,0,14,0.0,1.0,0,0,no,no,no,0,14,1.0,150,3060,False,,False
hprr,0,14,0.0,1.0,0,0,no,no,no,0,14,1.0,150,3060,False,,False
hypt,0,13,0.0,1.0,0,0,no,no,no,0,13,1.0,150,3060,False,,False
gcvb,0,54,0.0,1.0,0,0,yes,no,no,0,54,1.0,150,3060,False,,False
purr,0,32,0.0,1.0,0,0,yes,no,no,0,32,1.0,150,3060,False,,False
rybb,0,15,0.0,1.0,0,0,no,no,no,0,15,1.0,150,3060,False,,False
ygiv,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
