gene,source,comparison
dhaM,houser,two_week_starvation_versus_control
dhaL,houser,two_week_starvation_versus_control
glmM,houser,two_week_starvation_versus_control
aspC,houser,two_week_starvation_versus_control
folP,houser,two_week_starvation_versus_control
dhaK,houser,two_week_starvation_versus_control
dacB,houser,two_week_starvation_versus_control
ybaN,houser,two_week_starvation_versus_control
greA,houser,two_week_starvation_versus_control
yhbE,houser,two_week_starvation_versus_control
mukE,houser,two_week_starvation_versus_control
pyrC,houser,two_week_starvation_versus_control
ychA,houser,two_week_starvation_versus_control
hisF,houser,two_week_starvation_versus_control
yeeR,houser,two_week_starvation_versus_control
rihA,houser,two_week_starvation_versus_control
yfiH,houser,two_week_starvation_versus_control
aroF,houser,two_week_starvation_versus_control
lolB,houser,two_week_starvation_versus_control
ispE,houser,two_week_starvation_versus_control
bamD,houser,two_week_starvation_versus_control
prs,houser,two_week_starvation_versus_control
cbl,houser,two_week_starvation_versus_control
nac,houser,two_week_starvation_versus_control
efeB,houser,two_week_starvation_versus_control
pheA,houser,two_week_starvation_versus_control
yfeZ,houser,two_week_starvation_versus_control
ypeA,houser,two_week_starvation_versus_control
bisC,houser,two_week_starvation_versus_control
ypjD,houser,two_week_starvation_versus_control
trpC,houser,two_week_starvation_versus_control
rplS,houser,two_week_starvation_versus_control
trmD,houser,two_week_starvation_versus_control
yajG,houser,two_week_starvation_versus_control
yraN,houser,two_week_starvation_versus_control
yraM,houser,two_week_starvation_versus_control
diaA,houser,two_week_starvation_versus_control
rsxC,houser,two_week_starvation_versus_control
yafS,houser,two_week_starvation_versus_control
rarA,houser,two_week_starvation_versus_control
queA,houser,two_week_starvation_versus_control
rsxD,houser,two_week_starvation_versus_control
chaA,houser,two_week_starvation_versus_control
mreC,houser,two_week_starvation_versus_control
hisA,houser,two_week_starvation_versus_control
yeeE,houser,two_week_starvation_versus_control
hisC,houser,two_week_starvation_versus_control
hisB,houser,two_week_starvation_versus_control
rplJ,houser,two_week_starvation_versus_control
hflK,houser,two_week_starvation_versus_control
rplE,houser,two_week_starvation_versus_control
rpsN,houser,two_week_starvation_versus_control
rpsH,houser,two_week_starvation_versus_control
rplF,houser,two_week_starvation_versus_control
yoaB,houser,two_week_starvation_versus_control
pdxA,houser,two_week_starvation_versus_control
cyoD,houser,two_week_starvation_versus_control
pfkA,houser,two_week_starvation_versus_control
hemE,houser,two_week_starvation_versus_control
yebO,houser,two_week_starvation_versus_control
hupA,houser,two_week_starvation_versus_control
menA,houser,two_week_starvation_versus_control
flu,houser,two_week_starvation_versus_control
hfq,houser,two_week_starvation_versus_control
hflX,houser,two_week_starvation_versus_control
hisG,houser,two_week_starvation_versus_control
hisH,houser,two_week_starvation_versus_control
rpmI,houser,two_week_starvation_versus_control
rplL,houser,two_week_starvation_versus_control
dsbB,houser,two_week_starvation_versus_control
yoaH,houser,two_week_starvation_versus_control
rplK,houser,two_week_starvation_versus_control
rplA,houser,two_week_starvation_versus_control
cpxR,houser,two_week_starvation_versus_control
yobD,houser,two_week_starvation_versus_control
