baseMean,log2FoldChange,pvalue,padj,gene,dataType,growthPhase.y,investigatedEffect,testVSbase
18.4352381,0.410345389,0.332647333,0.533803569,yfhJ,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
14.35047178,1.063588546,0.007058814,0.042773403,fdx,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
59.24972436,0.614654424,0.140992553,0.298266192,hscA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
33.35476211,0.69365612,0.197831585,0.37591985,hscB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
94.2971432,-0.220280641,0.616773875,0.776670243,iscA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
145.2109645,-0.1551087,0.720006834,0.849523766,iscU,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
243.5935612,0.240948326,0.5958627,0.763605002,iscS,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
106.8361383,-0.142180012,0.779375205,0.888435417,iscR,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
61.89687782,0.361635825,0.228830313,0.414166801,yfhQ,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
31.56176888,0.780066966,0.239960698,0.4274522,suhB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
3.188779429,-0.113553489,0.815014799,0.90636644,yfhR,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
13.68199576,-1.672392104,0.0119188,0.05908647,csiE,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
17.86231871,-0.710179928,0.110343951,0.254004326,hcaT,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
110.9045064,-2.665310694,3.85e-06,0.000231813,hcaR,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.649925774,0.821923732,0.181401483,0.354646778,hcaE,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.33336411,0.767601822,0.333260692,,hcaF,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.334174042,0.76611094,0.340701619,,hcaC,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.231871967,0.97609538,0.052917885,0.157475157,hcaB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.356242789,1.452058398,0.000205788,0.003868177,hcaD,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
6.058076706,-1.374069524,0.038732125,0.128478162,yphA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
3.145092103,-0.187338595,0.674654129,0.819531051,yphB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.509548225,0.966623691,0.022604109,0.08935184,yphC,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.804406517,0.523791532,0.428023467,0.627589772,yphD,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.967879842,0.683724154,0.248928604,0.437382342,yphE,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.644311009,1.085583717,0.122471091,,yphF,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
4.464436878,0.719206677,0.064431477,0.180258296,yphG,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
10.66836421,0.461085326,0.153579655,0.317087514,yphH,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
732.9596152,0.605911233,0.273781051,0.467691905,glyA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
7.744173086,0.388409983,0.47604513,0.668601292,hmpA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
31.85558602,-0.444313572,0.106917461,0.24926687,glnB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
8.171811625,0.630077186,0.192313572,0.369180682,yfhA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
4.226267643,0.675767657,0.178447619,0.350963192,yfhG,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
20.79548212,-0.056385268,0.866650987,0.936169833,yfhK,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
216.366757,2.155847013,0.001537531,0.016225003,purL,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.671907085,0.445674212,0.508686927,,insA-19,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
4.229372629,0.057249141,0.89408563,0.950163439,insB-19,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
7.865897748,0.457982338,0.320113884,0.518765607,tadA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
14.78236123,0.136761925,0.737521139,0.86140758,yfhB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.651842909,0.592017879,0.212079166,0.394736312,yfhH,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.261892233,-0.119603246,0.863552937,0.934743907,yfhL,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
3.80057746,0.654633535,0.093505413,0.229565331,acpS,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
22.57553407,0.284878966,0.361802565,0.565257774,pdxJ,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
5.118591101,1.473608021,0.001620561,0.016710303,recO,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
18.74226111,1.591337627,0.00795107,0.04569333,era,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
9.600766072,1.031726851,0.077026241,0.202434924,rncS,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
98.78246996,1.634062841,0.002005974,0.019062376,lepB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
130.0825021,1.60571156,0.001488613,0.016037025,lepA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
13.36759082,1.533462452,0.000504026,0.007305346,rseC,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
85.89491698,0.543869512,0.13704826,0.292148358,rseB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
318.3623833,-0.008764266,0.984762216,0.992017323,rseA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
329.1734966,0.072681665,0.864108806,0.934743907,rpoE,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
20.92258386,1.570873516,2.14e-05,0.000742337,nadB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
4.824421187,1.2429165,0.003456487,0.027503845,yfiC,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
23.73113963,1.311087235,0.000189702,0.003641671,srmB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
8.4471195,-0.112186542,0.741271692,0.863716142,yfiE,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
16.77627892,-1.229926269,0.004447598,0.031411705,yfiK,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
423.1091611,-3.056612469,1.04e-06,9.9e-05,yfiD,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
27.15859915,-0.042288902,0.889664376,0.948594004,ung,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
49.52100805,-0.06853699,0.848559936,0.927897463,yfiF,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
47.48097776,-1.02564637,0.068248524,0.18652318,trxC,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.938606916,0.644246024,0.161675959,0.32798681,yfiP,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
190.047703,-1.290286208,0.00383926,0.028926702,yfiQ,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
63.57269894,-0.414262506,0.177505956,0.34931429,pssA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.351755709,0.716967925,0.119108768,0.26642202,yfiM,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
171.9636058,-2.210244238,6.83e-06,0.000342197,kgtP,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
878.560477,-0.110008274,0.787497109,0.89205181,clpB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
22.87344993,0.942711704,0.018863295,0.078702465,yfiH,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
17.5805671,1.00979778,0.006887252,0.042057689,rluD,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
92.93080262,1.103886006,0.004553919,0.031912803,yfiO,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
7097.75142,-2.452609166,0.000366686,0.006042781,yfiA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
255.0251164,0.035688384,0.942924152,0.97979614,pheA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
143.2316559,0.995317035,0.122759384,0.272091843,tyrA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
189.7338726,0.751569905,0.28851289,0.485427982,aroF,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.786263204,-0.891319926,0.245224232,0.433505342,yfiL,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
8.054471752,-1.214481165,0.014527867,0.066706199,yfiR,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
3.066284309,0.141774903,0.784923712,0.890509904,yfiN,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.075130619,0.304451911,0.561742424,0.737206502,yfiB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
355.0739382,1.861283975,0.001897361,0.018505879,rplS,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
355.6246402,1.627075541,0.01070508,0.05477294,trmD,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
361.5769239,1.748334841,0.008160658,0.046354443,rimM,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
43.68409457,2.098104593,0.000721772,0.009437951,rpsP,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
272.9880212,0.373596961,0.337665538,0.539567906,ffh,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
19.03581178,0.030043976,0.948613455,0.980804283,ypjD,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
18.00925635,0.484411946,0.149325617,0.310256853,yfjD,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
78.15718891,-0.194810544,0.582920123,0.753314385,grpE,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
23.22086769,0.669118651,0.01966406,0.08104648,ppnK,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
154.1717596,-0.428404053,0.383648757,0.585945139,recN,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
27.15367228,0.11401267,0.784499579,0.890509904,smpA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
4.761758566,0.6715266,0.11210212,0.256531298,yfjF,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
21.06821999,0.178307304,0.475813001,0.668601292,yfjG,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
8.792304389,1.347180525,5.06e-05,0.001373304,smpB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
6.189780781,0.701624292,0.062933307,0.178314198,ECB_02509,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
5.031323618,-0.296702951,0.684897616,0.827240796,ECB_02510,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.748961342,0.975335275,0.163895649,0.331001342,ECB_02511,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.964558864,2.201096116,0.001515873,0.016098735,ECB_02512,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.467176988,0.395839229,0.600175228,,insA-20,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
3.806908964,-0.069476463,0.890093908,0.948714978,insB-20,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
55.36793396,-2.207819064,0.002305472,0.020595168,csiD,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
16.33201263,-0.586604949,0.35777612,0.561153419,ygaF,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
44.76040035,-1.120592765,0.079098318,0.205223458,gabD,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
42.5700483,-0.80145855,0.186803148,0.361058835,gabT,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
