baseMean,log2FoldChange,pvalue,padj,gene,dataType,growthPhase.y,investigatedEffect,testVSbase
40.05901409,0.660896215,0.107816302,0.233025269,fabZ,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
19.62488992,-0.170647555,0.676058338,0.770616164,lpxA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
12.6049067,0.787640424,0.037202799,0.123159073,lpxB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
6.59233462,-0.246933329,0.625725743,0.731490259,rnhB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
16.79463992,0.369380368,0.359089488,0.497871853,dnaE,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
102.5153564,0.373738263,0.432825014,0.568291026,accA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.036956974,-1.164016314,0.138435785,0.27229606,ldcC,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
3.044635088,0.858806939,0.09380521,0.213755595,yaeR,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
6.514745028,1.371032322,0.011953993,0.059787648,tilS,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
8.362054435,0.207826823,0.682888688,0.776672067,rof,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
5.739508419,0.424248759,0.388607823,0.52588441,yaeP,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
3.017392155,1.132608561,0.055926345,0.156239647,yaeQ,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.195271715,-0.490854494,0.498306789,,yaeJ,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.411178128,-0.273369571,0.688098609,0.780764672,cutF,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.385754526,-0.652874184,0.391118293,,yaeF,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
188.1974646,0.370533659,0.40318604,0.536812215,proS,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.269485672,0.13153202,0.852425349,0.905502893,yaeB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
19.89573449,1.01873355,0.01938215,0.082640562,rcsF,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
248.4866438,0.106969302,0.809166646,0.87335706,metQ,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
6.782613729,0.444366882,0.399543628,0.533764638,metI,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
71.84036888,0.37951236,0.448992457,0.579995809,metN,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
5.585481789,0.710257794,0.223462829,0.367688517,gmhB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.881321548,0.837829087,0.152878643,0.29065115,dkgB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
4.215792658,1.485110892,0.006748204,0.041115844,yafC,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
3.0632152,0.078461813,0.892149094,0.931080559,yafD,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.634339148,-0.976801918,0.217902657,,yafE,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.870241113,-1.685349578,0.03347233,0.11543894,mltD,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
8.815093471,1.165285615,0.018606795,0.079890586,gloB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.048336064,1.430893721,0.044019855,0.135312767,yafS,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.577590026,-0.72449541,0.255460605,0.401796981,rnhA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.158402265,-0.424418524,0.58703397,0.700009287,dnaQ,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.914819448,-1.31719701,0.095461428,,yafT,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
