gene,ratio,log2_fc
kduD ,0.8860593858158454,-0.1745247
ravA ,0.8862316771274186,-0.1742442
pfkB ,0.8862797158282413,-0.174166
yhhM ,0.8866295799753114,-0.1735966
aroP ,0.8868924068287048,-0.173169
ispG ,0.8870615398455309,-0.1728939
rsmH ,0.8883830055376883,-0.1707463
uvrD ,0.8885104811790038,-0.1705393
curA ,0.8889750906597864,-0.1697851
corC ,0.8892120475117897,-0.1694006
trpA ,0.8893472860431392,-0.1691812
recA ,0.8893538204219212,-0.1691706
rsmG ,0.8897246942659265,-0.1685691
sbcB ,0.8900556207961231,-0.1680326
ygeA ,0.890464745714683,-0.1673696
ydiJ ,0.8906228305885356,-0.1671135
rob ,0.890879122262995,-0.1666984
ispD ,0.8909700861814729,-0.1665511
ybiC ,0.8910819975099201,-0.1663699
def ,0.8912068952891875,-0.1661677
murE ,0.891966541851425,-0.1649385
gcvH ,0.8920490220947599,-0.1648051
glpD ,0.8921449288781363,-0.16465
pmbA ,0.8924519493698254,-0.1641536
yigL ,0.8932646654429385,-0.1628404
kdsD ,0.8934455415237733,-0.1625483
nei ,0.8938777241343746,-0.1618506
nlpD ,0.8941263377376202,-0.1614494
lldD ,0.8941344566455468,-0.1614363
rne ,0.8949507519979887,-0.1601198
ftsI ,0.8951580911638394,-0.1597856
ycjX ,0.8951937072123807,-0.1597282
yecC ,0.8952327375757518,-0.1596653
parC ,0.8958728548409801,-0.1586341
ftsX ,0.8960546317094967,-0.1583414
azoR ,0.8961053147185335,-0.1582598
dcp ,0.8964939797063636,-0.1576342
uvrA ,0.8969025826495629,-0.1569768
htpG ,0.8969508889134495,-0.1568991
panD ,0.8971746112987545,-0.1565393
rpoD ,0.8977650261474152,-0.1555902
rsmE ,0.8979071669035736,-0.1553618
yaiL ,0.8985371137035212,-0.15435
cyaA ,0.8985633970272306,-0.1543078
ybjP ,0.8986027611679398,-0.1542446
rfaG ,0.899069594361214,-0.1534953
rmlA1 ,0.8992126896099765,-0.1532657
yhbW ,0.8997090874771516,-0.1524695
tpiA ,0.899933747341975,-0.1521093
ybgF ,0.9006189880918516,-0.1510112
yeeZ ,0.9006312237006082,-0.1509916
ptrA ,0.9006335335025457,-0.1509879
yaiI ,0.90077438018635,-0.1507623
ptsN ,0.9008478714415664,-0.1506446
polA ,0.9010352794232601,-0.1503445
hemL ,0.9012527740008975,-0.1499963
hda ,0.9012680168297869,-0.1499719
rlmN ,0.9015843012170508,-0.1494657
yceD ,0.9021871232517015,-0.1485014
topA ,0.9031661367954625,-0.1469367
cnu ,0.9037274191857926,-0.1460404
yecS ,0.9038646147272782,-0.1458214
mnmE ,0.9039936852510576,-0.1456154
secA ,0.904003397613681,-0.1455999
mgtA ,0.9040051521161211,-0.1455971
pta ,0.9045320328052301,-0.1447565
yeeX ,0.9046152987618783,-0.1446237
secF ,0.9049523282809266,-0.1440863
ribC ,0.9054540912785172,-0.1432866
nuoI ,0.9055151600779157,-0.1431893
gpsA ,0.9058361998851969,-0.1426779
betB ,0.9059133065615741,-0.1425551
yfaD ,0.9069993990617939,-0.1408265
radA ,0.9071924256101244,-0.1405195
gsiB ,0.9076673702663901,-0.1397644
yejO ,0.9081324920041153,-0.1390253
hldD ,0.9083596329925806,-0.1386645
prs ,0.9091523641792022,-0.137406
ddlB ,0.9094744413547567,-0.136895
hemG ,0.909528972558787,-0.1368085
gcvP ,0.9097912092882915,-0.1363926
lsrR ,0.9099220091143636,-0.1361852
dusA ,0.9107259515104071,-0.1349111
proB ,0.910847478539622,-0.1347186
ispA ,0.9109138991245044,-0.1346134
msbB ,0.9110287575524526,-0.1344315
grcA ,0.9114636332370846,-0.133743
rof ,0.9124928755884775,-0.1321148
dsbG ,0.9126271634915394,-0.1319025
pdxK ,0.9133202968636592,-0.1308072
folC ,0.9135323983933713,-0.1304722
yebG ,0.9135790040152721,-0.1303986
yejK ,0.9135794472866773,-0.1303979
mnmC ,0.9140154138227049,-0.1297096
lptD ,0.914453616725807,-0.1290181
uvrC ,0.9150753188185613,-0.1280376
pldA ,0.915446068233249,-0.1274532
wbbJ ,0.9158641344133285,-0.1267945
fepB ,0.9162552723549713,-0.1261785
nagZ ,0.9167189489524769,-0.1254486
cohE ,0.9168451522801411,-0.12525
hflC ,0.9172678629358773,-0.124585
glnG ,0.917320190902811,-0.1245027
ybbN ,0.9180229336611408,-0.1233979
mdtA ,0.9192888197577552,-0.1214099
ldhA ,0.9199964504142033,-0.1202998
nuoJ ,0.9204909866242661,-0.1195245
yicC ,0.9211687023278757,-0.1184627
hybC ,0.9220029041405663,-0.1171568
emtA ,0.9223947456976165,-0.1165438
dnaB ,0.922436176852633,-0.116479
yggG ,0.9224906539810233,-0.1163938
ubiA ,0.9226402908162169,-0.1161598
yjcH ,0.9228647276131214,-0.1158089
gltP ,0.9229603009155866,-0.1156595
prmB ,0.9234196258063286,-0.1149417
yfgD ,0.9237411867878585,-0.1144394
ptsP ,0.9237554653339732,-0.1144171
yecM ,0.9242788014224065,-0.1136
ycgR ,0.924449168947073,-0.1133341
rpoA ,0.9245038931219608,-0.1132487
chbC ,0.9245348451140717,-0.1132004
arpA ,0.9251950805469049,-0.1121705
mnmA ,0.9256851607201931,-0.1114065
kdgR ,0.9257337980111873,-0.1113307
rcsD ,0.92625363225816,-0.1105208
nuoH ,0.9267355369579829,-0.1097704
ycbB ,0.9268256007843433,-0.1096302
yojI ,0.927084984672571,-0.1092265
mntR ,0.9272128078853438,-0.1090276
fadR ,0.9275696364918722,-0.1084725
ibpA ,0.9276506507566404,-0.1083465
livK ,0.9277310290428535,-0.1082215
fxsA ,0.9284346040182005,-0.1071278
mak ,0.9285434976809436,-0.1069586
cysZ ,0.9289334185303735,-0.1063529
nrdB ,0.9293302668015051,-0.1057367
yddE ,0.9302094491025175,-0.1043725
aspS ,0.9306170988166934,-0.1037404
rlmG ,0.9306827676936777,-0.1036386
allR ,0.9309693652931366,-0.1031944
wzzE ,0.9311318011680534,-0.1029427
oppF ,0.931219323064609,-0.1028071
msrA ,0.9316328396973118,-0.1021666
csrA ,0.9318949254259894,-0.1017608
yadG ,0.9330943746230587,-0.09990509
yagU ,0.9331797329929254,-0.09977312
rpsF ,0.9333209598007136,-0.0995548
nemA ,0.9333333420999262,-0.09953566
mcrB,0.9334748444986097,-0.09931695
yaiW ,0.9340598636792489,-0.09841308
pal ,0.934062408125691,-0.09840915
ydfG ,0.9341368670066178,-0.09829415
gntR ,0.9347725276514922,-0.09731276
hemN ,0.9348568666680211,-0.0971826
murC ,0.9349879843669691,-0.09698027
yjdJ ,0.9354447685021301,-0.09627562
rstB ,0.936148463738003,-0.09519075
rbn ,0.9361567371050814,-0.095178
hscA ,0.9362802623034839,-0.09498765
gshB ,0.9364379258041845,-0.09474473
yajQ ,0.936541707953236,-0.09458485
xdhD ,0.9374523783536829,-0.09318269
apaH ,0.9376368530913535,-0.09289882
ribA ,0.9378116979630946,-0.09262982
ratB ,0.9380432063238684,-0.09227372
seqA ,0.9383584967363774,-0.09178889
cyoB ,0.938797978211815,-0.09111336
cytR ,0.9390925816830186,-0.0906607
hybO ,0.9392002906338034,-0.09049524
fabZ ,0.9398712922204958,-0.08946489
yjgJ ,0.9411131215146131,-0.08755995
ompT ,0.941493826473726,-0.08697646
