gene,ratio,log2FC_treitz,dataset,Acetate,Glucose,log2FC_schmidt,avg_exp
rffg,,,Schmidt,14.605220850282052,41.207311497383394,-1.43546416117087,27.906266173832723
hdfr,,,Schmidt,48.60691654,72.99496819,-0.5768858826731069,60.800942365
tsac,,,Schmidt,347.2480799497979,414.07507570013206,-0.2532569054225231,380.661577824965
biod,,,Schmidt,315.0116073895907,440.2656754643943,-0.4816699785473091,377.63864142699254
btud,,,Schmidt,47.07466716,62.84186445,-0.4092259156675304,54.958265805
ytfe,,,Schmidt,7.23080610600528,6.31038864367209,0.1710856252577741,6.770597374838685
yiba,,,Schmidt,19.22247242,31.21828563,-0.6719203353314054,25.220379025
glgs,,,Schmidt,17.0505013,27.20102004,-0.64370844199963,22.12576067
yehs,,,Schmidt,18.15387135207544,33.033500403137,-0.8293195255567269,25.59368587760622
acph,,,Schmidt,7.886327403,21.86434561,-1.3634404277104863,14.8753365065
chbg,,,Schmidt,17.38623401,39.3355776,-1.1334269076038943,28.360905805
ygfy,,,Schmidt,184.0686331,190.0383784,-0.0458020991436161,187.05350575
ydej,,,Schmidt,32.7029654213498,12.03741969198319,1.370217169291282,22.370192556666495
yedp,,,Schmidt,74.34637805303541,39.466027023756496,0.8968269508604578,56.90620253839595
csde,,,Schmidt,128.6328595492079,195.68375845908756,-0.6014463679308504,162.15830900414772
sfsa,,,Schmidt,14.53626491,42.99355624,-1.501652521321121,28.764910575
yhin,,,Schmidt,9.114981549,52.56121923,-2.4046951132921124,30.8381003895
pncc,,,Schmidt,89.24807885381158,86.76680867222153,0.0402207712986246,88.00744376301655
fecb,,,Schmidt,4.107174361,10.92009854,-1.222798942994714,7.5136364505
fece,,,Schmidt,1.742687899,13.79514368,-2.4314613402126435,7.7689157895
tsab,,,Schmidt,62.675148955270345,105.12736154261732,-0.7369943224264563,83.90125524894384
mscl,,,Schmidt,1089.5577174894477,1408.8717109688146,-0.3704977665916455,1249.214714229131
ogt,,,Schmidt,21.8038077,56.68482036,-1.3389169859531762,39.24431403
lrha,,,Schmidt,13.158253459709949,17.665624540892683,-0.3987404734179334,15.411939000301317
paax,,,Schmidt,25.378608352017828,11.059557088161936,1.1291915324942918,18.21908272008988
lldr,,,Schmidt,4.440958666,17.30004138,-1.7499141370776634,10.870500023
mngr,,,Schmidt,29.98827736,53.55194653,-0.8159081182501335,41.770111945
ygav,,,Schmidt,87.53803092,142.5948182,-0.6976344951692628,115.06642456
zntr,,,Schmidt,16.19972051,26.27225453,-0.6650488474416445,21.23598752
caid,,,Schmidt,11.8064089,59.37687754,-2.2371301680482207,35.59164322
yfjg,,,Schmidt,6.289553996,32.64686001,-2.206569423502228,19.468207003
clsa,,,Schmidt,9.547533957150623,10.254810672939527,-0.093636055920566,9.901172315045075
bioc,,,Schmidt,3.64279181,6.169485949,-0.6268770919635296,4.9061388795
thid,,,Schmidt,11.46983072,27.88323514,-1.2117904635139083,19.67653293
ubii,,,Schmidt,12.579528233095004,16.743853278741735,-0.3858859815027751,14.661690755918368
srlb,,,Schmidt,3.167964586300092,9.503681476764342,-1.3334801476850675,6.335823031532217
mela,,,Schmidt,22.78270254603986,11.989292562373947,0.8725898057400867,17.385997554206902
ugpc,,,Schmidt,26.41340265852639,28.687372016133263,-0.1149679765907718,27.550387337329827
yiht,,,Schmidt,6.966258725,19.33417649,-1.3519323236927114,13.1502176075
gcvr,,,Schmidt,239.03537222832583,323.89380283346617,-0.4367212045907074,281.464587530896
glpb,,,Schmidt,6.307371317306764,3.5967867296343687,0.6687267853146657,4.952079023470566
glnp,,,Schmidt,37.73101783964692,34.26031410815597,0.1354440888393133,35.99566597390144
potg,,,Schmidt,37.59365553578031,43.61758608463146,-0.2092487621708025,40.605620810205885
feab,,,Schmidt,22.625757440415793,7.561853516328314,1.4643655248234806,15.093805478372053
narg,,,Schmidt,0.9517408404973812,0.1615243538474971,0.7487420954773716,0.5566325971724392
fumb,,,Schmidt,1.867697421,15.32723334,-2.509315631743087,8.5974653805
mcba,,,Schmidt,4782.799754,6801.383328,-0.5078833063586305,5792.091541
ynae,,,Schmidt,8.285889854,31.25603933,-1.7964572296678023,19.770964592
glsa,,,Schmidt,353.3901132358356,55.20379578970907,2.656598883231603,204.29695451277232
gyri,,,Schmidt,491.0716595,499.0100388,-0.0230886325340051,495.04084915
ygid,,,Schmidt,100.9879258,207.9007202,-1.034419102436921,154.444323
amph,,,Schmidt,26.10382662,36.3749978,-0.4635769433282632,31.23941221
tatc,,,Schmidt,154.07947976584973,213.22165811292072,-0.4660965454701076,183.6505689393852
yedv,,,Schmidt,2.709838681237719,6.995257694505229,-1.1077880798368185,4.852548187871474
yedw,,,Schmidt,5.266945373,9.784231687,-0.7830890738610292,7.52558853
hded,,,Schmidt,29.033792108420116,2.057715581567169,3.2960605196755313,15.545753844993644
yfcz,,,Schmidt,1746.7423327815302,1921.0137570637655,-0.1371261564316448,1833.878044922648
sgcq,,,Schmidt,0.1215728966800363,1.025672420191357,-0.8528774973600193,0.5736226584356967
ybiv,,,Schmidt,66.3397873766512,135.48084758431844,-1.019167440317962,100.91031748048482
frmb,,,Schmidt,39.51243927,51.96204424,-0.386593855784251,45.737241755
paay,,,Schmidt,13.28823979824248,7.399034525803019,0.7665327945454492,10.343637162022748
phnp,,,Schmidt,7.519647007,51.05894073,-2.6112803949055863,29.289293868500003
ybhl,,,Schmidt,40.811648808671784,65.33342499451396,-0.6658310824685048,53.07253690159287
ycak,,,Schmidt,10.17206887,44.95472877,-2.040316951141172,27.563398820000003
adep,,,Schmidt,65.78803852287494,91.30337255681572,-0.4667936168723656,78.54570553984533
yhet,,,Schmidt,3.180690134,18.41074263,-2.215042292529565,10.795716382
yieh,,,Schmidt,3.929273607,21.35741731,-2.1813065728050702,12.6433454585
kefc,,,Schmidt,3.500081669181287,2.2344236981881886,0.4764425050603995,2.867252683684738
taua,,,Schmidt,3.1095614389266695,5.174223372965104,-0.5872732364832363,4.141892405945887
nird,,,Schmidt,4.769800759038102,9.8243422732688,-0.9076859580260396,7.297071516153451
hype,,,Schmidt,7.547756312372309,16.155652742842985,-1.0050663350209077,11.851704527607648
arnb,,,Schmidt,13.408777764828551,15.108733615943637,-0.1608951183584572,14.258755690386092
recr,,,Schmidt,44.879407029705725,76.03280746021305,-0.7476262599829893,60.456107244959384
dnac,,,Schmidt,43.33733064,59.42745292,-0.4466822178665754,51.38239178
exox,,,Schmidt,18.83513863,16.61256139,0.1714537455019238,17.72385001
insc,,,Schmidt,17.00414245,33.70772496,-0.9469279171586048,25.355933705
yjjv,,,Schmidt,12.873782429808289,21.32159161155787,-0.686078734927209,17.09768702068308
ydci,,,Schmidt,240.33089792096848,132.87515134353004,0.8501244316565009,186.6030246322493
asnc,,,Schmidt,34.91224843,114.1214412,-1.680608671698148,74.516844815
ydcn,,,Schmidt,8.481935999,14.5987361,-0.7181755779768788,11.5403360495
yfhh,,,Schmidt,29.34809666,44.0907708,-0.5712261343144727,36.71943373
ytfh,,,Schmidt,18.97427138,20.33581534,-0.0951343660404706,19.65504336
dpia,,,Schmidt,3.975091608,8.001508318,-0.8554436730088901,5.988299963
yhbt,,,Schmidt,2.734966529,5.803490095,-0.8651797042528779,4.269228312
srld,,,Schmidt,0.706038746,4.420282733,-1.6677176952514747,2.5631607395
ygff,,,Schmidt,11.18579266,17.73340426,-0.6204129935626961,14.45959846
cobt,,,Schmidt,61.99828126805564,83.26457472508145,-0.4196137727132836,72.63142799656855
mend,,,Schmidt,0.706793224,1.543632745,-0.5756020982020885,1.1252129845
kbaz,,,Schmidt,0.703918647,5.849649662,-2.007173744416316,3.2767841545
kdui,,,Schmidt,1.047109874,18.78842136,-3.272996081666071,9.917765617
lsrk,,,Schmidt,13.871643824412391,5.626882625218821,1.1661618514034495,9.749263224815609
mngb,,,Schmidt,0.980045716,2.016614228,-0.6073964727668899,1.498329972
yici,,,Schmidt,0.4834954549867908,0.7490820418728428,-0.2375974546178557,0.6162887484298168
pyre,,,Schmidt,1.666440929007662,22.269667872921985,-3.1254633466125243,11.968054400964824
ade,,,Schmidt,6.620184564841481,4.938330581558568,0.359768531863271,5.779257573200025
nudg,,,Schmidt,184.2622617,271.4310258,-0.5563219826169377,227.84664375
livm,,,Schmidt,33.424838847559165,70.55031126100499,-1.0555081423237382,51.987575054282075
ydgd,,,Schmidt,5.224691499,14.70420507,-1.3350766742910705,9.9644482845
rspb,,,Schmidt,0.458625869,0.977831708,-0.4393097877472903,0.7182287885
narj,,,Schmidt,1.401011820094523,1.08190923235431,0.2057353349242776,1.2414605262244165
sad,,,Schmidt,5.017943403341601,17.132216352965767,-1.5912128368214602,11.075079878153684
hyca,,,Schmidt,17.382811461692377,65.48177265880712,-1.8546014215492157,41.43229206024975
rffc,,,Schmidt,5.17384945,28.98168572,-2.2798392928645765,17.077767585
yaji,,,Schmidt,90.47889956,191.6263896,-1.074294448176761,141.05264458
ygac,,,Schmidt,10.18071902,32.70425335,-1.5919176962546762,21.442486185
yghw,,,Schmidt,0.024735479,0.73324862,-0.7582270654364928,0.3789920495
ylac,,,Schmidt,52.69657307022639,144.9526963329154,-1.4425989403875574,98.82463470157089
yggt,,,Schmidt,134.7338780489401,212.2850716422845,-0.6520021409591061,173.50947484561232
upps,,,Schmidt,10.53717934,31.39994965,-1.489701020434421,20.968564495
ycdb,,,Schmidt,0.340794575,10.44601804,-3.0936856638502315,5.3934063075
nfra,,,Schmidt,0.081015037,0.362738574,-0.3341222327339135,0.2218768055
rssb,,,Schmidt,11.270927508978556,13.455806836692853,-0.2364048331610453,12.363367172835703
yedq,,,Schmidt,12.591143731380312,6.570838134203988,0.844141939300477,9.580990932792153
yafk,,,Schmidt,21.97072764363679,80.39050891526973,-1.8250640115100871,51.18061827945326
ycfs,,,Schmidt,12.4357743862558,20.15865460717684,-0.6551684201265426,16.29721449671632
lsrg,,,Schmidt,8.339864767772205,3.888286534028381,0.9340728079499668,6.114075650900293
ybaa,,,Schmidt,27.92939995,75.2964716,-1.3990799404753869,51.612935775
ybdf,,,Schmidt,47.32281985,176.632797,-1.87812142653969,111.977808425
yqja,,,Schmidt,18.02230428132508,37.164047943578275,-1.0045221829524067,27.59317611245168
yjix,,,Schmidt,1.649915362,24.34192751,-3.257508074201012,12.995921436
tsaa,,,Schmidt,52.461180372186995,64.89084573575487,-0.3015863531877611,58.676013053970934
fhuf,,,Schmidt,0.64297039128915,0.5313002299910179,0.1015493126251411,0.587135310640084
dmsd,,,Schmidt,81.24912946991981,149.44259277386715,-0.8711407610905626,115.34586112189348
dnat,,,Schmidt,37.3851248317273,55.153376932312426,-0.5488254456544199,46.26925088201986
iap,,,Schmidt,1.301376587,15.38327765,-2.8316550282607063,8.3423271185
keff,,,Schmidt,21.43494677,45.39765547,-1.048304145032695,33.41630112
lhgo,,,Schmidt,13.080969592099724,9.829979615341909,0.3787161515263144,11.455474603720816
rssa,,,Schmidt,46.20526733,83.46763792,-0.8394508580433131,64.83645262499999
selu,,,Schmidt,0.721860789,11.17874947,-2.8223255911477536,5.9503051295
ybip,,,Schmidt,0.023425965,0.328645447,-0.3765494274369338,0.176035706
yddh,,,Schmidt,23.12153161350265,9.727186386871516,1.1690497910783502,16.42435900018708
ypea,,,Schmidt,59.1383767526667,81.72918495602586,-0.4601104414614756,70.43378085434628
yjhc,,,Schmidt,18.98257994,9.567897385,0.919054497627006,14.2752386625
feta,,,Schmidt,50.793644441339296,70.0186939820967,-0.4554237530005638,60.406169211718
zape,,,Schmidt,17.388169621136125,32.124602429207705,-0.8491252596083756,24.756386025171913
enth,,,Schmidt,7.3422136332909504,17.590927379502084,-1.1560965752859755,12.466570506396517
mhpd,,,Schmidt,3.408455395,7.260338601,-0.9059276581097402,5.334396998
yfdc,,,Schmidt,15.822577940199986,11.739918659550778,0.4010427388085671,13.781248299875385
cuta,,,Schmidt,61.69070612610904,11.794553790217757,2.2927217455788553,36.7426299581634
fes,,,Schmidt,2.001104611016403,5.010654457657175,-1.0020284757883733,3.5058795343367892
ftnb,,,Schmidt,0.642451795,1.911876533,-0.8260981559489352,1.277164164
nrfa,,,Schmidt,0.1205411341926737,0.00748536153024,0.1534367330666825,0.0640132478614569
fepc,,,Schmidt,17.60845980949305,11.595411464432477,0.5630603984077256,14.60193563696276
nrdh,,,Schmidt,10.06174362,33.4654958,-1.639573959258564,21.76361971
yfcr,,,Schmidt,39.67813456,103.7901028,-1.3651770379317911,71.73411868
mray,,,Schmidt,18.396499603513412,20.393027903865914,-0.1413443721998062,19.394763753689663
ugd,,,Schmidt,5.544865109,9.908318061,-0.7369933082351436,7.726591585
mnat,,,Schmidt,49.347983000908926,75.52451073389913,-0.603987932446941,62.43624686740403
rnha,,,Schmidt,8.066360515961236,23.667063735448597,-1.443990558454237,15.866712125704916
sbcc,,,Schmidt,4.779958148423046,7.015189493741479,-0.4716775822492987,5.897573821082263
dam,,,Schmidt,2.218661501,74.47210822,-4.551410809583952,38.3453848605
dnaq,,,Schmidt,13.098173871470795,14.561553229923277,-0.1424777625555648,13.829863550697036
pria,,,Schmidt,0.284272731,3.331987992,-1.7540776349829337,1.8081303615
rara,,,Schmidt,5.0026194639866395,5.21890793129208,-0.0510690475193982,5.11076369763936
recb,,,Schmidt,39.49522174,40.34609729,-0.0299994717270193,39.920659515
recd,,,Schmidt,0.023864327,0.366286945,-0.4162359520899525,0.195075636
recn,,,Schmidt,0.001809166,0.006513689,-0.006759077007563,0.0041614275
rnt,,,Schmidt,95.89071850519888,236.78756125591968,-1.2952428725566485,166.3391398805593
vsr,,,Schmidt,1.946004082,13.01393042,-2.250030303800811,7.479967251
yafc,,,Schmidt,9.885789700636806,7.913556295332773,0.2883730179840973,8.89967299798479
fucr,,,Schmidt,15.299796037209514,7.265821302883046,0.9796238319912683,11.28280867004628
csir,,,Schmidt,3.879974639,5.638099775,-0.443896664044332,4.7590372069999995
frlr,,,Schmidt,14.181245838317787,10.578369004930584,0.3908581479797499,12.379807421624186
nemr,,,Schmidt,0.173762206,3.093652918,-1.8022486274700693,1.633707562
nsrr,,,Schmidt,34.84338168,872.1404881,-4.606435140377337,453.49193489
xylr,,,Schmidt,0.4768121072795286,1.214778993675072,-0.5846764579155633,0.8457955504773004
ynfl,,,Schmidt,14.65450869,3.32560835,1.8556032792508828,8.99005852
yqhc,,,Schmidt,0.195510745,55.51036483,-5.562816501373469,27.8529377875
rph,,,Schmidt,11.806428040902832,5.440043775573507,0.9917257363259916,8.62323590823817
kpta,,,Schmidt,0.429723405,1.545739731,-0.8323488603494024,0.987731568
poxa,,,Schmidt,11.54520066,35.44154898,-1.5384487366782142,23.49337482
yhhy,,,Schmidt,2.420188744,5.596194168,-0.947557924295968,4.0081914560000005
yjgh,,,Schmidt,9.887150431,15.46181845,-0.5964973145157906,12.6744844405
idi,,,Schmidt,34.13865567531214,16.764964111663595,0.9840242240101792,25.451809893487862
yihu,,,Schmidt,2.487470529,6.083798142,-1.0223420765820466,4.2856343355
hemh,,,Schmidt,7.6119440946509265,18.785154916049137,-1.2000075022918255,13.19854950535003
nadd,,,Schmidt,24.602225576516737,40.006706195322344,-0.6795906381650294,32.30446588591954
folk,,,Schmidt,160.1472139,213.9785589,-0.4158135327401346,187.0628864
srle,,,Schmidt,1.1296119245944254,0.2373221384867991,0.7833693978258898,0.6834670315406123
uida,,,Schmidt,0.6158486864961014,1.2962331665190152,-0.5069770395059138,0.9560409265075582
dgoa,,,Schmidt,0.015675937683446,0.0193217397760938,-0.0051693289724662,0.0174988387297699
dgok,,,Schmidt,7.667584075,11.93184998,-0.5772268455789726,9.7997170275
fuca,,,Schmidt,0.319244135,0.623102909,-0.2990429037354865,0.4711735219999999
lsra,,,Schmidt,0.1212652587735311,0.0060108097975891,0.1564818109507944,0.0636380342855601
treb,,,Schmidt,14.38880956289258,14.702103027039016,-0.0290761633253557,14.545456294965796
shia,,,Schmidt,1.6177364915078232,34.03276593064108,-3.74231311318328,17.82525121107445
ulab,,,Schmidt,27.36392093,28.24488616,-0.0441273936687443,27.804403545
sgca,,,Schmidt,10.6411101,8.802606613,0.2479913079998739,9.7218583565
dgt,,,Schmidt,3.1910326255488415,2.4266485644875866,0.2905075150292744,2.8088405950182143
csda,,,Schmidt,2.332639324737131,12.224377994258877,-1.9884627719104908,7.278508659498003
gada,,,Schmidt,24.68258672988253,25.028953778765946,-0.0193268075914154,24.85577025432424
glnk,,,Schmidt,1.2126999698291614,57.523513401370565,-4.725136634995589,29.368106685599862
tnab,,,Schmidt,3.7471964848518935,10.113521728910497,-1.2271683914933145,6.930359106881195
pabb,,,Schmidt,11.909504834777325,35.703219749683186,-1.507472962686725,23.806362292230254
phno,,,Schmidt,233.2797942,340.4456066,-0.5434232385446558,286.8627004
prow,,,Schmidt,9.39523039556454,29.82228724249713,-1.568052190662156,19.608758819030836
yeja,,,Schmidt,20.77447282,10.35110697,0.939804792999654,15.562789895
ygey,,,Schmidt,5.852308825,10.0043518,-0.6834120888045834,7.9283303125
pabc,,,Schmidt,26.03828174,28.02734159,-0.1024089792453901,27.032811664999997
gsic,,,Schmidt,45.795353042926614,71.81178278668457,-0.6378066620358256,58.8035679148056
yphc,,,Schmidt,1.412460695,2.318819573,-0.4601647622316311,1.865640134
pret,,,Schmidt,1.9460086102749208,1.0816978173983205,0.5010009870281225,1.5138532138366203
ftsl,,,Schmidt,25.59232906052126,58.72937627372826,-1.167430516838877,42.16085266712476
yafn,,,Schmidt,7.578784715,17.50179686,-1.1088201966789095,12.5402907875
astd,,,Schmidt,5.615149588967599,5.367952158612916,0.054944283474958,5.491550873790258
glpc,,,Schmidt,0.0051737753044205,0.0064702836295487,-0.0018596395140712,0.0058220294669846
appc,,,Schmidt,0.2080226206714787,1.0049850591863276,-0.7309440160823628,0.6065038399289031
glca,,,Schmidt,40.229502583566784,1.0117768840988708,4.35713483864018,20.620639733832828
hyaa,,,Schmidt,0.2825386086359056,0.0094399065198244,0.3454472289440567,0.145989257577865
hyce,,,Schmidt,0.3525820679648223,1.0905090748375943,-0.62813817381137,0.7215455714012085
rsxc,,,Schmidt,4.629648556125456,10.259873402483196,-1.0000738402917522,7.444760979304326
rsxg,,,Schmidt,68.10739750496411,90.24005075807136,-0.4008270990832718,79.17372413151773
sdhd,,,Schmidt,33.25363102231909,29.36362777481989,0.173912756780961,31.308629398569487
bara,,,Schmidt,2.350319018972896,2.48243197964312,-0.055796697542404,2.416375499308008
bcsg,,,Schmidt,37.93824584495093,42.3483667299601,-0.1547897443414685,40.14330628745552
ceda,,,Schmidt,42.31475517,79.91783387,-0.9015991374887156,61.11629452
dind,,,Schmidt,1.966263928,0.494745201,0.9887473905480136,1.2305045645
fimh,,,Schmidt,1.546502063,16.58626737,-2.7878605166906443,9.0663847165
hybe,,,Schmidt,13.14354169,110.4207456,-2.977802538947823,61.782143645000005
pspb,,,Schmidt,212.20494341006668,317.77236711799054,-0.5802856851947364,264.9886552640286
ycix,,,Schmidt,72.27205243,104.5220528,-0.5262096029932071,88.397052615
ydiz,,,Schmidt,237.1205392034158,124.55403200800144,0.9233837066716912,180.83728560570864
yech,,,Schmidt,0.619958028,3.289046052,-1.4047003720892988,1.95450204
yhcn,,,Schmidt,18.21387177,35.02806797,-0.9069730238451372,26.620969870000003
yhfg,,,Schmidt,6.701901644100079,24.60105221250119,-1.7329165020720845,15.651476928300635
ypfm,,,Schmidt,1.444224057,1.850423924,-0.2217999572622755,1.6473239905
yrdb,,,Schmidt,122.7413909,301.8847681,-1.2914408720645891,212.3130795
addb,,,Schmidt,12.39509030008633,12.69466643080356,-0.0319098190559001,12.544878365444946
yeiu,,,Schmidt,1.2596456028973089,17.073573237637543,-2.9997133357190577,9.166609420267426
hemk,,,Schmidt,0.314705585,1.8178219,-1.09984067046608,1.0662637425
tusd,,,Schmidt,17.83638545,24.63018379,-0.4443216740041054,21.23328462
tuse,,,Schmidt,345.864966,481.6224391,-0.4765208608046674,413.74370255
wecf,,,Schmidt,3.131837130968103,4.936908377010478,-0.5229284614116501,4.03437275398929
yfha,,,Schmidt,3.012128644,9.331612361,-1.3646256500412497,6.1718705025
acrd,,,Schmidt,1.3865212239329072,0.9041957562595404,0.3257273676370642,1.1453584900962237
mdtb,,,Schmidt,0.4716102245146545,0.0044032966763885,0.5510569360970898,0.2380067605955215
zrap,,,Schmidt,0.0196653554974816,2.0777021408185523,-1.5937578637451153,1.048683748158017
chpb,,,Schmidt,103.61752411582847,72.1058480429228,0.5170658095068061,87.86168607937563
ybii,,,Schmidt,3.247514073311164,3.1160909413901723,0.0453438698512282,3.1818025073506684
chps,,,Schmidt,1.435937601,8.514952709,-1.9657193084391416,4.975445154999999
ydam,,,Schmidt,12.15133999500196,3.40802913990269,1.5770041375560702,7.779684567452325
ydeh,,,Schmidt,0.9939576587449768,0.9900509102028074,0.002829435959705,0.992004284473892
yeaj,,,Schmidt,2.935445912755014,0.9826500001238188,0.9890970929985804,1.9590479564394163
yeap,,,Schmidt,0.298567855,2.557741158,-1.4540401495691704,1.4281545065
yijo,,,Schmidt,1.731687761,1.749344287,-0.0092949905750912,1.7405160240000002
csgd,,,Schmidt,0.014575331,0.212445472,-0.2570438781680421,0.1135104015
yaeq,,,Schmidt,1.2399037674407654,1.933465098498907,-0.3891690759701578,1.5866844329698362
ybdd,,,Schmidt,2.4403911066616573,0.796678168988801,0.9372405726702382,1.618534637825229
ybga,,,Schmidt,0.0117869590328897,0.0147019603429759,-0.0041504898394407,0.0132444596879328
ybhk,,,Schmidt,1.6592797808183954,3.98249780126778,-0.9058335983789434,2.820888791043088
ycap,,,Schmidt,8.345779453304882,4.351106750132497,0.8044776823228679,6.34844310171869
ycis,,,Schmidt,135.01437820025163,58.38935459899045,1.195482908459308,96.70186639962104
ydbl,,,Schmidt,4.313774800570886,8.65952036804353,-0.862214468279543,6.486647584307208
yece,,,Schmidt,0.3836917451276096,0.3937449659453143,-0.01044401487293,0.3887183555364619
yedk,,,Schmidt,0.9130972486591126,1.7485944857812177,-0.5227838621580113,1.330845867220165
yheu,,,Schmidt,0.0451656099258787,0.0560819393477611,-0.0149902147569304,0.0506237746368199
hicb,,,Schmidt,61.518371567022456,189.42524608268627,-1.6068726544026806,125.47180882485436
lptc,,,Schmidt,57.07736783264126,58.014593260191695,-0.0230956820712862,57.54598054641647
paac,,,Schmidt,0.5094695768091964,0.6208620274959279,-0.1027196098844722,0.5651658021525621
ycfj,,,Schmidt,0.964237088,51.77075729,-4.747697705230198,26.367497189
ykgg,,,Schmidt,1.920156958205819,2.4707119525869587,-0.2491857195241185,2.195434455396389
yjdi,,,Schmidt,39.99243838,104.2548465,-1.3604569498609838,72.12364244
yodc,,,Schmidt,20.58492484,22.32428172,-0.1118085841688074,21.45460328
ypeb,,,Schmidt,21.734052994067504,40.05866563386607,-0.8528318333732834,30.896359313966787
ahr,,,Schmidt,2.009854257274618,1.0228698152802824,0.5732901545539297,1.51636203627745
ghxp,,,Schmidt,80.08140052456417,81.2182149010375,-0.0200870400594066,80.64980771280084
mazg,,,Schmidt,4.797560848487858,1.7848211419657314,1.0578613848521048,3.2911909952267946
ybaq,,,Schmidt,7.374236940839445,40.22314625005443,-2.299424975635457,23.798691595446936
ybey,,,Schmidt,19.758231524240895,14.034143530499756,0.4654408576619904,16.896187527370326
ybhp,,,Schmidt,8.197550398576631,9.252597163341012,-0.1566678344033074,8.725073780958823
ybjl,,,Schmidt,0.2386122111504225,0.0077575224619684,0.297576022080886,0.1231848668061954
yddm,,,Schmidt,46.14976703129212,69.61132270225067,-0.5826488992960392,57.8805448667714
yedy,,,Schmidt,13.56260942111039,19.84856568222403,-0.5176792440755391,16.70558755166721
sufe,,,Schmidt,9.667122312046002,4.692478116926388,0.9060422848604296,7.179800214486195
ybgl,,,Schmidt,11.977267767184458,0.4944082491599733,3.11834044142364,6.235838008172215
yedj,,,Schmidt,0.464525242,1.67409406,-0.8686171532683039,1.069309651
yjfp,,,Schmidt,93.64838059163904,158.9427899006492,-0.7569062311957078,126.2955852461441
yjjg,,,Schmidt,8.95063654936297,65.62961580877392,-2.7433028509867996,37.29012617906845
yqia,,,Schmidt,45.10893419763481,23.141883782319987,0.9335080649670608,34.1254089899774
yjju,,,Schmidt,3.270676912,4.073551624,-0.2485312681982097,3.672114268
paab,,,Schmidt,0.0197969247316926,0.0246334329413267,-0.0068259790801084,0.0222151788365096
taud,,,Schmidt,0.718712627,1.924569412,-0.7668958877390705,1.3216410195
amtb,,,Schmidt,0.4395676542103763,53.100416234953464,-5.231932197033553,26.76999194458192
apag,,,Schmidt,19.635742714537876,12.997724858012797,0.5599530087201234,16.316733786275336
glpe,,,Schmidt,4.5264441514160545,12.85535743501122,-1.3260205103739002,8.690900793213636
year,,,Schmidt,2.414500556213635,1.861710986658318,0.2547965918828601,2.1381057714359764
fecr,,,Schmidt,1.231219847,2.986889106,-0.8374308053066184,2.1090544765
yfcg,,,Schmidt,33.837171521714644,20.327740172055243,0.7078963844516384,27.082455846884944
flij,,,Schmidt,14.552999169931557,15.39920297804638,-0.0764328897863619,14.976101073988968
lpxk,,,Schmidt,4.177850666605275,14.354713264882797,-1.5682563091046329,9.266281965744035
pbpg,,,Schmidt,0.0068543861787111,0.0084472400458865,-0.0022805547553305,0.0076508131122988
rfal,,,Schmidt,2.0604420380086492,8.279882180117575,-1.6003664435544591,5.170162109063112
csgg,,,Schmidt,16.20495081,27.07482237,-0.7064531273644663,21.63988659
ynai,,,Schmidt,2.6409523143276648,2.3485936995893626,0.1207605081014353,2.4947730069585137
ybjt,,,Schmidt,1.6292863635324433,1.9519573133064496,-0.1670005807042927,1.7906218384194466
yrar,,,Schmidt,9.704060272717124,7.986072456426386,0.2523955449340032,8.845066364571755
rspa,,,Schmidt,0.4618183090951969,0.9495596441637434,-0.41538428435252,0.7056889766294702
wzc,,,Schmidt,0.0035935968624306,0.0045102021709586,-0.0013170454889251,0.0040518995166946
ydiy,,,Schmidt,0.055506413,2.467057203,-1.7157762955967095,1.261281808
holb,,,Schmidt,7.790929143010495,15.036298367883388,-0.8672536034668759,11.413613755446942
intf,,,Schmidt,0.0051903643926345,0.0064107078697393,-0.0017504302645865,0.0058005361311869
mutm,,,Schmidt,0.460699739540879,2.706917908040331,-1.3435605169563969,1.5838088237906052
muty,,,Schmidt,0.5771319134951624,3.1264936111696326,-1.387613072544771,1.8518127623323977
nth,,,Schmidt,6.252050287261496,10.70435428577496,-0.6905845108248312,8.478202286518227
prib,,,Schmidt,0.1693439097587704,9.17155611588224,-3.1207692086185905,4.670450012820506
recc,,,Schmidt,0.9950437592257888,1.052932837106171,-0.0412660387883766,1.02398829816598
topb,,,Schmidt,0.679024800623913,0.3634366226579113,0.300375900005846,0.5212307116409122
holc,,,Schmidt,2.2132519571952596,4.466827446982395,-0.7666697298317544,3.3400397020888275
ygbt,,,Schmidt,1.9137854952373248,2.153142400681591,-0.1138956516575904,2.033463947959458
comr,,,Schmidt,1.312257742142237,1.8749847918195557,-0.3142521037097177,1.5936212669808962
rfah,,,Schmidt,47.31200867715694,55.8473629970777,-0.2347115905475769,51.57968583711733
rpir,,,Schmidt,25.66693115754054,58.00330362201436,-1.1457439254469612,41.83511738977745
ycge,,,Schmidt,1.587133700267522,1.9388050781644743,-0.1838750598039733,1.7629693892159983
cspb,,,Schmidt,9.045847773,2.003384564,1.741938199184708,5.5246161685
cspg,,,Schmidt,29.2199372,45.68958031,-0.6275999578904088,37.454758755
fear,,,Schmidt,0.044989731,3.596495334,-2.137045510926115,1.8207425325
ilvy,,,Schmidt,1.592216265,7.742791244,-1.7539078661778946,4.6675037545
mqsa,,,Schmidt,24.581891422658043,34.32847411616336,-0.4657085033946178,29.455182769410705
