gene,source,thresholds,comparison
rclA,mori,2.5,Lib-19_versus_Lib-20
sbmC,mori,2.5,Lib-19_versus_Lib-20
sodC,mori,2.5,Lib-19_versus_Lib-20
spy,mori,2.5,Lib-19_versus_Lib-20
sra,mori,2.5,Lib-19_versus_Lib-20
talA,mori,2.5,Lib-19_versus_Lib-20
tktB,mori,2.5,Lib-19_versus_Lib-20
tnaA,mori,2.5,Lib-19_versus_Lib-20
trpC,mori,2.5,Lib-19_versus_Lib-20
trpD,mori,2.5,Lib-19_versus_Lib-20
ugpB,mori,2.5,Lib-19_versus_Lib-20
uspA,mori,2.5,Lib-19_versus_Lib-20
uspE,mori,2.5,Lib-19_versus_Lib-20
uspF,mori,2.5,Lib-19_versus_Lib-20
uspG,mori,2.5,Lib-19_versus_Lib-20
wrbA,mori,2.5,Lib-19_versus_Lib-20
xdhA,mori,2.5,Lib-19_versus_Lib-20
yahK,mori,2.5,Lib-19_versus_Lib-20
yahO,mori,2.5,Lib-19_versus_Lib-20
yajO,mori,2.5,Lib-19_versus_Lib-20
ybaY,mori,2.5,Lib-19_versus_Lib-20
ybeL,mori,2.5,Lib-19_versus_Lib-20
ybjP,mori,2.5,Lib-19_versus_Lib-20
ycaC,mori,2.5,Lib-19_versus_Lib-20
yccX,mori,2.5,Lib-19_versus_Lib-20
yciF,mori,2.5,Lib-19_versus_Lib-20
yciG,mori,2.5,Lib-19_versus_Lib-20
ydbC,mori,2.5,Lib-19_versus_Lib-20
ydcH,mori,2.5,Lib-19_versus_Lib-20
ydfZ,mori,2.5,Lib-19_versus_Lib-20
ydiH,mori,2.5,Lib-19_versus_Lib-20
ydjY,mori,2.5,Lib-19_versus_Lib-20
yeaG,mori,2.5,Lib-19_versus_Lib-20
yeaY,mori,2.5,Lib-19_versus_Lib-20
yebF,mori,2.5,Lib-19_versus_Lib-20
ygaM,mori,2.5,Lib-19_versus_Lib-20
ygaU,mori,2.5,Lib-19_versus_Lib-20
ygdI,mori,2.5,Lib-19_versus_Lib-20
ygdR,mori,2.5,Lib-19_versus_Lib-20
ygeV,mori,2.5,Lib-19_versus_Lib-20
ygiW,mori,2.5,Lib-19_versus_Lib-20
yhjG,mori,2.5,Lib-19_versus_Lib-20
yibT,mori,2.5,Lib-19_versus_Lib-20
yjbJ,mori,2.5,Lib-19_versus_Lib-20
yjgR,mori,2.5,Lib-19_versus_Lib-20
yjhG,mori,2.5,Lib-19_versus_Lib-20
yjiM,mori,2.5,Lib-19_versus_Lib-20
ymdF,mori,2.5,Lib-19_versus_Lib-20
ynfK,mori,2.5,Lib-19_versus_Lib-20
yniA,mori,2.5,Lib-19_versus_Lib-20
yqjD,mori,2.5,Lib-19_versus_Lib-20
yqjG,mori,2.5,Lib-19_versus_Lib-20
ysgA,mori,2.5,Lib-19_versus_Lib-20
ytfQ,mori,2.5,Lib-19_versus_Lib-20
appA,mori,2.5,Lib-28_versus_Lib-20
argB,mori,2.5,Lib-28_versus_Lib-20
argD,mori,2.5,Lib-28_versus_Lib-20
argE,mori,2.5,Lib-28_versus_Lib-20
argF,mori,2.5,Lib-28_versus_Lib-20
argG,mori,2.5,Lib-28_versus_Lib-20
argH,mori,2.5,Lib-28_versus_Lib-20
aroF,mori,2.5,Lib-28_versus_Lib-20
artJ,mori,2.5,Lib-28_versus_Lib-20
asnA,mori,2.5,Lib-28_versus_Lib-20
chaA,mori,2.5,Lib-28_versus_Lib-20
cysC,mori,2.5,Lib-28_versus_Lib-20
cysD,mori,2.5,Lib-28_versus_Lib-20
cysN,mori,2.5,Lib-28_versus_Lib-20
dppA,mori,2.5,Lib-28_versus_Lib-20
dppD,mori,2.5,Lib-28_versus_Lib-20
entC,mori,2.5,Lib-28_versus_Lib-20
fepA,mori,2.5,Lib-28_versus_Lib-20
gdhA,mori,2.5,Lib-28_versus_Lib-20
gltB,mori,2.5,Lib-28_versus_Lib-20
gltD,mori,2.5,Lib-28_versus_Lib-20
hisC,mori,2.5,Lib-28_versus_Lib-20
hisJ,mori,2.5,Lib-28_versus_Lib-20
ilvA,mori,2.5,Lib-28_versus_Lib-20
ilvC,mori,2.5,Lib-28_versus_Lib-20
ilvD,mori,2.5,Lib-28_versus_Lib-20
ilvE,mori,2.5,Lib-28_versus_Lib-20
ilvG_1,mori,2.5,Lib-28_versus_Lib-20
ilvI,mori,2.5,Lib-28_versus_Lib-20
ilvM,mori,2.5,Lib-28_versus_Lib-20
leuA,mori,2.5,Lib-28_versus_Lib-20
leuC,mori,2.5,Lib-28_versus_Lib-20
livJ,mori,2.5,Lib-28_versus_Lib-20
lysC,mori,2.5,Lib-28_versus_Lib-20
metA,mori,2.5,Lib-28_versus_Lib-20
metB,mori,2.5,Lib-28_versus_Lib-20
metE,mori,2.5,Lib-28_versus_Lib-20
