gene,source,comparison
recE ,lu,glyphosate_shock_versus_control
recX ,lu,glyphosate_shock_versus_control
wcaH ,lu,glyphosate_shock_versus_control
yaiC ,lu,glyphosate_shock_versus_control
ybeS ,lu,glyphosate_shock_versus_control
ydaV ,lu,glyphosate_shock_versus_control
ydeO ,lu,glyphosate_shock_versus_control
yeeS ,lu,glyphosate_shock_versus_control
yfdL ,lu,glyphosate_shock_versus_control
yfjY ,lu,glyphosate_shock_versus_control
yghG ,lu,glyphosate_shock_versus_control
yhdJ ,lu,glyphosate_shock_versus_control
yicF ,lu,glyphosate_shock_versus_control
ykfG ,lu,glyphosate_shock_versus_control
cchB ,lu,glyphosate_shock_versus_control
adrB ,lu,glyphosate_shock_versus_control
fimZ ,lu,glyphosate_shock_versus_control
glnG ,lu,glyphosate_shock_versus_control
glnL ,lu,glyphosate_shock_versus_control
uhpB ,lu,glyphosate_shock_versus_control
ycgG ,lu,glyphosate_shock_versus_control
yjiY ,lu,glyphosate_shock_versus_control
adiY ,lu,glyphosate_shock_versus_control
alpA ,lu,glyphosate_shock_versus_control
arsR ,lu,glyphosate_shock_versus_control
betI ,lu,glyphosate_shock_versus_control
bglG ,lu,glyphosate_shock_versus_control
dsdC ,lu,glyphosate_shock_versus_control
envR ,lu,glyphosate_shock_versus_control
fhlA ,lu,glyphosate_shock_versus_control
fliA ,lu,glyphosate_shock_versus_control
frvR ,lu,glyphosate_shock_versus_control
gatR ,lu,glyphosate_shock_versus_control
htgA ,lu,glyphosate_shock_versus_control
hyfR ,lu,glyphosate_shock_versus_control
lysR ,lu,glyphosate_shock_versus_control
rcsA ,lu,glyphosate_shock_versus_control
rhmR ,lu,glyphosate_shock_versus_control
rtcR ,lu,glyphosate_shock_versus_control
ybeF ,lu,glyphosate_shock_versus_control
ybhD ,lu,glyphosate_shock_versus_control
ybiH ,lu,glyphosate_shock_versus_control
ycgW ,lu,glyphosate_shock_versus_control
ygeK ,lu,glyphosate_shock_versus_control
yidP ,lu,glyphosate_shock_versus_control
lysU ,lu,glyphosate_shock_versus_control
prfH ,lu,glyphosate_shock_versus_control
micF ,lu,glyphosate_shock_versus_control
