gene,source,thresholds,comparison
yfcG,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yfcQ,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yfcV,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
frc,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ypdF,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yffO,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
hcaF,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
grcA,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yfjJ,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ygaM,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
norW,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ygeA,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
araE,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yqeJ,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
insC1,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ssnA,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yqhG,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ygiW,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ygjI,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
higA,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yhaI,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yhbO,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yhbQ,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yhdV,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
gspC,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
nirD,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yhfW,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yhfY,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
nikE,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
slp,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
dctR,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
hdeB,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
hdeA,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
hdeD,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
gadE,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
mdtE,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
gadW,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
gadA,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
xylF,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
aldB,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yidF,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
dgoK,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yieL,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yijF,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
frwD,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
thiG,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
nrfB,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
alsK,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
phnL,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
melR,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yjfC,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yjfY,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yjgH,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
nanS,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
csrB,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ymdF,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ymiA,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
insP,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
cbdX,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ykfK,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ptwF,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ttcC,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
sroH,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
